models/RNN2_wvecDim_30_middleDim_30_step_5e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 1 : Cost=65.2357, ExpCost=65.2357.
Iter 2 : Cost=55.3442, ExpCost=65.1368.
Iter 3 : Cost=54.9978, ExpCost=65.0354.
Iter 4 : Cost=47.5319, ExpCost=64.8603.
Iter 5 : Cost=34.9003, ExpCost=64.5607.
Iter 6 : Cost=35.1720, ExpCost=64.2668.
Iter 7 : Cost=29.9874, ExpCost=63.9241.
Iter 8 : Cost=32.2943, ExpCost=63.6078.
Iter 9 : Cost=33.0501, ExpCost=63.3022.
Iter 10 : Cost=29.6828, ExpCost=62.9660.
Iter 11 : Cost=28.0579, ExpCost=62.6169.
Iter 12 : Cost=30.5832, ExpCost=62.2966.
Iter 13 : Cost=27.9687, ExpCost=61.9533.
Iter 14 : Cost=36.9656, ExpCost=61.7034.
Iter 15 : Cost=31.6826, ExpCost=61.4032.
Iter 16 : Cost=33.6601, ExpCost=61.1258.
Iter 17 : Cost=27.3887, ExpCost=60.7884.
Iter 18 : Cost=27.3787, ExpCost=60.4543.
Iter 19 : Cost=31.9813, ExpCost=60.1696.
Iter 20 : Cost=31.3724, ExpCost=59.8816.
Iter 21 : Cost=26.6999, ExpCost=59.5498.
Iter 22 : Cost=27.4053, ExpCost=59.2283.
Iter 23 : Cost=29.1979, ExpCost=58.9280.
Iter 24 : Cost=26.5260, ExpCost=58.6040.
Iter 25 : Cost=26.4237, ExpCost=58.2822.
Iter 26 : Cost=30.6468, ExpCost=58.0059.
Iter 27 : Cost=23.8347, ExpCost=57.6641.
Iter 28 : Cost=28.8742, ExpCost=57.3762.
Iter 29 : Cost=26.2500, ExpCost=57.0650.
Iter 30 : Cost=24.9222, ExpCost=56.7436.
Iter 31 : Cost=27.0048, ExpCost=56.4462.
Iter 32 : Cost=21.4293, ExpCost=56.0960.
Iter 33 : Cost=28.2607, ExpCost=55.8176.
Iter 34 : Cost=23.0522, ExpCost=55.4900.
Iter 35 : Cost=23.1589, ExpCost=55.1667.
Iter 36 : Cost=26.0892, ExpCost=54.8759.
Iter 37 : Cost=29.8753, ExpCost=54.6259.
Iter 38 : Cost=27.5978, ExpCost=54.3556.
Iter 39 : Cost=27.1745, ExpCost=54.0838.
Iter 40 : Cost=23.8431, ExpCost=53.7814.
Iter 41 : Cost=24.7737, ExpCost=53.4913.
Iter 42 : Cost=26.3190, ExpCost=53.2196.
Iter 43 : Cost=26.1856, ExpCost=52.9493.
Iter 44 : Cost=26.6326, ExpCost=52.6861.
Iter 45 : Cost=24.5003, ExpCost=52.4042.
Iter 46 : Cost=22.6513, ExpCost=52.1067.
Iter 47 : Cost=28.8042, ExpCost=51.8737.
Iter 48 : Cost=22.4809, ExpCost=51.5798.
Iter 49 : Cost=25.5908, ExpCost=51.3199.
Iter 50 : Cost=25.0910, ExpCost=51.0576.
Iter 51 : Cost=27.9747, ExpCost=50.8267.
Iter 52 : Cost=28.5151, ExpCost=50.6036.
Iter 53 : Cost=26.2099, ExpCost=50.3597.
Iter 54 : Cost=27.7696, ExpCost=50.1338.
Iter 55 : Cost=22.0753, ExpCost=49.8532.
Iter 56 : Cost=27.1170, ExpCost=49.6258.
Iter 57 : Cost=27.4980, ExpCost=49.4046.
Iter 58 : Cost=28.4076, ExpCost=49.1946.
Iter 59 : Cost=28.7540, ExpCost=48.9902.
Iter 60 : Cost=30.4901, ExpCost=48.8052.
Iter 61 : Cost=27.7073, ExpCost=48.5942.
Iter 62 : Cost=22.4037, ExpCost=48.3323.
Iter 63 : Cost=27.7884, ExpCost=48.1269.
