models/RNN_wvecDim_30_step_1e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 1 : Cost=61.3730, ExpCost=61.3730.
Iter 2 : Cost=64.9146, ExpCost=61.4085.
Iter 3 : Cost=54.5403, ExpCost=61.3398.
Iter 4 : Cost=56.9773, ExpCost=61.2962.
Iter 5 : Cost=57.4811, ExpCost=61.2580.
Iter 6 : Cost=49.0001, ExpCost=61.1354.
Iter 7 : Cost=62.5429, ExpCost=61.1495.
Iter 8 : Cost=47.8788, ExpCost=61.0168.
Iter 9 : Cost=60.5841, ExpCost=61.0125.
Iter 10 : Cost=53.7258, ExpCost=60.9396.
Iter 11 : Cost=58.0238, ExpCost=60.9104.
Iter 12 : Cost=55.6233, ExpCost=60.8576.
Iter 13 : Cost=63.5092, ExpCost=60.8841.
Iter 14 : Cost=58.8788, ExpCost=60.8640.
Iter 15 : Cost=58.1552, ExpCost=60.8369.
Iter 16 : Cost=50.3615, ExpCost=60.7322.
Iter 17 : Cost=52.7004, ExpCost=60.6519.
Iter 18 : Cost=44.7717, ExpCost=60.4931.
Iter 19 : Cost=53.6633, ExpCost=60.4248.
Iter 20 : Cost=49.6630, ExpCost=60.3172.
Iter 21 : Cost=47.8874, ExpCost=60.1929.
Iter 22 : Cost=48.5113, ExpCost=60.0760.
Iter 23 : Cost=44.8040, ExpCost=59.9233.
Iter 24 : Cost=47.6238, ExpCost=59.8003.
Iter 25 : Cost=40.9989, ExpCost=59.6123.
Iter 26 : Cost=53.7822, ExpCost=59.5540.
Iter 27 : Cost=53.5779, ExpCost=59.4943.
Iter 28 : Cost=52.0822, ExpCost=59.4201.
Iter 29 : Cost=53.1769, ExpCost=59.3577.
Iter 30 : Cost=42.7004, ExpCost=59.1911.
Iter 31 : Cost=49.7242, ExpCost=59.0965.
Iter 32 : Cost=40.0316, ExpCost=58.9058.
Iter 33 : Cost=50.4222, ExpCost=58.8210.
Iter 34 : Cost=46.9899, ExpCost=58.7027.
Iter 35 : Cost=45.0272, ExpCost=58.5659.
Iter 36 : Cost=46.7590, ExpCost=58.4478.
Iter 37 : Cost=41.7721, ExpCost=58.2811.
Iter 38 : Cost=46.3368, ExpCost=58.1616.
Iter 39 : Cost=46.3843, ExpCost=58.0439.
Iter 40 : Cost=53.0573, ExpCost=57.9940.
Iter 41 : Cost=48.2578, ExpCost=57.8966.
Iter 42 : Cost=41.0803, ExpCost=57.7285.
Iter 43 : Cost=44.2027, ExpCost=57.5932.
Iter 44 : Cost=43.6340, ExpCost=57.4536.
Iter 45 : Cost=44.4865, ExpCost=57.3240.
Iter 46 : Cost=38.1285, ExpCost=57.1320.
Iter 47 : Cost=39.7198, ExpCost=56.9579.
Iter 48 : Cost=45.7404, ExpCost=56.8457.
Iter 49 : Cost=42.2312, ExpCost=56.6996.
Iter 50 : Cost=40.8324, ExpCost=56.5409.
Iter 51 : Cost=50.5494, ExpCost=56.4810.
Iter 52 : Cost=39.8777, ExpCost=56.3149.
Iter 53 : Cost=36.5871, ExpCost=56.1177.
Iter 54 : Cost=38.4733, ExpCost=55.9412.
Iter 55 : Cost=32.7496, ExpCost=55.7093.
Iter 56 : Cost=51.1720, ExpCost=55.6639.
Iter 57 : Cost=40.4189, ExpCost=55.5115.
Iter 58 : Cost=46.6357, ExpCost=55.4227.
Iter 59 : Cost=41.1273, ExpCost=55.2798.
Iter 60 : Cost=46.3525, ExpCost=55.1905.
Iter 61 : Cost=41.7973, ExpCost=55.0566.
Iter 62 : Cost=37.5138, ExpCost=54.8811.
Iter 63 : Cost=45.1148, ExpCost=54.7835.
Iter 64 : Cost=45.6617, ExpCost=54.6923.
Iter 65 : Cost=45.5643, ExpCost=54.6010.
Iter 66 : Cost=41.4534, ExpCost=54.4695.
Iter 67 : Cost=39.7787, ExpCost=54.3226.
Iter 68 : Cost=36.6561, ExpCost=54.1459.
Iter 69 : Cost=39.1442, ExpCost=53.9959.
Iter 70 : Cost=36.4469, ExpCost=53.8204.
Iter 71 : Cost=32.1264, ExpCost=53.6035.
Iter 72 : Cost=37.6447, ExpCost=53.4439.
Iter 73 : Cost=38.6113, ExpCost=53.2956.
Iter 74 : Cost=38.0482, ExpCost=53.1431.
Iter 75 : Cost=36.5034, ExpCost=52.9767.
Iter 76 : Cost=36.1719, ExpCost=52.8086.
Iter 77 : Cost=45.9464, ExpCost=52.7400.
Iter 78 : Cost=32.6372, ExpCost=52.5390.
Iter 79 : Cost=44.9873, ExpCost=52.4635.
Iter 80 : Cost=33.6429, ExpCost=52.2753.
Iter 81 : Cost=38.9818, ExpCost=52.1423.
Iter 82 : Cost=33.4866, ExpCost=51.9558.
Iter 83 : Cost=37.5528, ExpCost=51.8117.
Iter 84 : Cost=37.3295, ExpCost=51.6669.
Iter 85 : Cost=41.8561, ExpCost=51.5688.
Iter 86 : Cost=37.1424, ExpCost=51.4246.
Iter 87 : Cost=40.2861, ExpCost=51.3132.
Iter 88 : Cost=42.9177, ExpCost=51.2292.
Iter 89 : Cost=34.4475, ExpCost=51.0614.
Iter 90 : Cost=40.4233, ExpCost=50.9550.
Iter 91 : Cost=33.6444, ExpCost=50.7819.
Iter 92 : Cost=39.8787, ExpCost=50.6729.
Iter 93 : Cost=38.8459, ExpCost=50.5546.
Iter 94 : Cost=35.4141, ExpCost=50.4032.
Iter 95 : Cost=40.0218, ExpCost=50.2994.
Iter 96 : Cost=41.3833, ExpCost=50.2102.
Iter 97 : Cost=33.4279, ExpCost=50.0424.
Iter 98 : Cost=37.8952, ExpCost=49.9209.
Iter 99 : Cost=37.7323, ExpCost=49.7990.
Iter 100 : Cost=36.3561, ExpCost=49.6646.
Iter 101 : Cost=35.1953, ExpCost=49.5199.
Iter 102 : Cost=39.0894, ExpCost=49.4156.
Iter 103 : Cost=38.6730, ExpCost=49.3082.
Iter 104 : Cost=36.1834, ExpCost=49.1769.
Iter 105 : Cost=32.6047, ExpCost=49.0112.
Iter 106 : Cost=37.4649, ExpCost=48.8958.
Iter 107 : Cost=36.1064, ExpCost=48.7679.
Iter 108 : Cost=41.4940, ExpCost=48.6951.
Iter 109 : Cost=41.0758, ExpCost=48.6189.
Iter 110 : Cost=36.8069, ExpCost=48.5008.
Iter 111 : Cost=33.6090, ExpCost=48.3519.
Iter 112 : Cost=31.1273, ExpCost=48.1797.
Iter 113 : Cost=34.6108, ExpCost=48.0440.
Iter 114 : Cost=32.0845, ExpCost=47.8844.
Iter 115 : Cost=34.5317, ExpCost=47.7508.
Iter 116 : Cost=41.2876, ExpCost=47.6862.
Iter 117 : Cost=41.6558, ExpCost=47.6259.
Iter 118 : Cost=36.1458, ExpCost=47.5111.
Iter 119 : Cost=31.8183, ExpCost=47.3542.
Iter 120 : Cost=33.9404, ExpCost=47.2200.
Iter 121 : Cost=33.4681, ExpCost=47.0825.
Iter 122 : Cost=35.1404, ExpCost=46.9631.
Iter 123 : Cost=39.3809, ExpCost=46.8873.
Iter 124 : Cost=39.3370, ExpCost=46.8118.
Iter 125 : Cost=34.5550, ExpCost=46.6892.
Iter 126 : Cost=28.5072, ExpCost=46.5074.
Iter 127 : Cost=35.6818, ExpCost=46.3991.
Iter 128 : Cost=39.5358, ExpCost=46.3305.
Iter 129 : Cost=32.8487, ExpCost=46.1957.
Iter 130 : Cost=38.1277, ExpCost=46.1150.
Iter 131 : Cost=34.9115, ExpCost=46.0030.
Iter 132 : Cost=39.2760, ExpCost=45.9357.
Iter 133 : Cost=33.1140, ExpCost=45.8075.
Iter 134 : Cost=36.4507, ExpCost=45.7139.
Iter 135 : Cost=36.4535, ExpCost=45.6213.
Iter 136 : Cost=37.0667, ExpCost=45.5358.
Iter 137 : Cost=36.3739, ExpCost=45.4441.
Iter 138 : Cost=36.3744, ExpCost=45.3534.
Iter 139 : Cost=29.0258, ExpCost=45.1902.
