models/RNTN_wvecDim_30_step_5e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 1 : Cost=61.5871, ExpCost=61.5871.
Iter 2 : Cost=61.5318, ExpCost=61.5866.
Iter 3 : Cost=40.2954, ExpCost=61.3737.
Iter 4 : Cost=59.7369, ExpCost=61.3573.
Iter 5 : Cost=58.4175, ExpCost=61.3279.
Iter 6 : Cost=53.1603, ExpCost=61.2462.
Iter 7 : Cost=53.1949, ExpCost=61.1657.
Iter 8 : Cost=48.8854, ExpCost=61.0429.
Iter 9 : Cost=52.4967, ExpCost=60.9574.
Iter 10 : Cost=49.3131, ExpCost=60.8410.
Iter 11 : Cost=41.5322, ExpCost=60.6479.
Iter 12 : Cost=45.1816, ExpCost=60.4932.
Iter 13 : Cost=39.7691, ExpCost=60.2860.
Iter 14 : Cost=43.9823, ExpCost=60.1230.
Iter 15 : Cost=39.8570, ExpCost=59.9203.
Iter 16 : Cost=42.4030, ExpCost=59.7451.
Iter 17 : Cost=43.9721, ExpCost=59.5874.
Iter 18 : Cost=47.0990, ExpCost=59.4625.
Iter 19 : Cost=46.8258, ExpCost=59.3361.
Iter 20 : Cost=30.4247, ExpCost=59.0470.
Iter 21 : Cost=39.2851, ExpCost=58.8494.
Iter 22 : Cost=42.9968, ExpCost=58.6909.
Iter 23 : Cost=40.9599, ExpCost=58.5136.
Iter 24 : Cost=37.4892, ExpCost=58.3033.
Iter 25 : Cost=39.4866, ExpCost=58.1152.
Iter 26 : Cost=38.3280, ExpCost=57.9173.
Iter 27 : Cost=40.3823, ExpCost=57.7419.
Iter 28 : Cost=35.0911, ExpCost=57.5154.
Iter 29 : Cost=40.2967, ExpCost=57.3432.
Iter 30 : Cost=37.6605, ExpCost=57.1464.
Iter 31 : Cost=39.0225, ExpCost=56.9652.
Iter 32 : Cost=31.0306, ExpCost=56.7058.
Iter 33 : Cost=32.5461, ExpCost=56.4642.
Iter 34 : Cost=34.6378, ExpCost=56.2460.
Iter 35 : Cost=38.3873, ExpCost=56.0674.
Iter 36 : Cost=37.9928, ExpCost=55.8866.
Iter 37 : Cost=35.1543, ExpCost=55.6793.
Iter 38 : Cost=35.8157, ExpCost=55.4807.
Iter 39 : Cost=40.0326, ExpCost=55.3262.
Iter 40 : Cost=37.9757, ExpCost=55.1527.
Iter 41 : Cost=30.2781, ExpCost=54.9040.
Iter 42 : Cost=44.1181, ExpCost=54.7961.
Iter 43 : Cost=41.2814, ExpCost=54.6609.
Iter 44 : Cost=35.0726, ExpCost=54.4651.
Iter 45 : Cost=39.0492, ExpCost=54.3109.
Iter 46 : Cost=31.8234, ExpCost=54.0860.
Iter 47 : Cost=39.4925, ExpCost=53.9401.
Iter 48 : Cost=34.8667, ExpCost=53.7494.
Iter 49 : Cost=35.7456, ExpCost=53.5693.
Iter 50 : Cost=33.8136, ExpCost=53.3718.
Iter 51 : Cost=37.6949, ExpCost=53.2150.
Iter 52 : Cost=35.7443, ExpCost=53.0403.
Iter 53 : Cost=34.8957, ExpCost=52.8588.
Iter 54 : Cost=29.7724, ExpCost=52.6280.
Iter 55 : Cost=40.2180, ExpCost=52.5039.
Iter 56 : Cost=35.9682, ExpCost=52.3385.
Iter 57 : Cost=33.7565, ExpCost=52.1527.
Iter 58 : Cost=33.2455, ExpCost=51.9636.
Iter 59 : Cost=29.0075, ExpCost=51.7341.
Iter 60 : Cost=31.8994, ExpCost=51.5357.
Iter 61 : Cost=29.4640, ExpCost=51.3150.
Iter 62 : Cost=29.5772, ExpCost=51.0976.
Iter 63 : Cost=36.8147, ExpCost=50.9548.
Iter 64 : Cost=28.0677, ExpCost=50.7259.
Iter 65 : Cost=33.5650, ExpCost=50.5543.
