models/RNTN_wvecDim_30_step_10e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 1 : Cost=58.2603, ExpCost=58.2603.
Iter 2 : Cost=63.0992, ExpCost=58.3087.
Iter 3 : Cost=70.6504, ExpCost=58.4321.
Iter 4 : Cost=70.7298, ExpCost=58.5551.
Iter 5 : Cost=54.8131, ExpCost=58.5177.
Iter 6 : Cost=42.8295, ExpCost=58.3608.
Iter 7 : Cost=41.0243, ExpCost=58.1874.
Iter 8 : Cost=49.2986, ExpCost=58.0985.
Iter 9 : Cost=43.1487, ExpCost=57.9490.
Iter 10 : Cost=41.4960, ExpCost=57.7845.
Iter 11 : Cost=41.9986, ExpCost=57.6266.
Iter 12 : Cost=38.2954, ExpCost=57.4333.
Iter 13 : Cost=46.1361, ExpCost=57.3204.
Iter 14 : Cost=37.1907, ExpCost=57.1191.
Iter 15 : Cost=39.7704, ExpCost=56.9456.
Iter 16 : Cost=34.7656, ExpCost=56.7238.
Iter 17 : Cost=38.8708, ExpCost=56.5452.
Iter 18 : Cost=36.3596, ExpCost=56.3434.
Iter 19 : Cost=40.3217, ExpCost=56.1832.
Iter 20 : Cost=40.3167, ExpCost=56.0245.
Iter 21 : Cost=34.7715, ExpCost=55.8120.
Iter 22 : Cost=34.9819, ExpCost=55.6037.
Iter 23 : Cost=40.1146, ExpCost=55.4488.
Iter 24 : Cost=36.9729, ExpCost=55.2640.
Iter 25 : Cost=38.9142, ExpCost=55.1005.
Iter 26 : Cost=38.6875, ExpCost=54.9364.
Iter 27 : Cost=38.4916, ExpCost=54.7719.
Iter 28 : Cost=37.8182, ExpCost=54.6024.
Iter 29 : Cost=36.4305, ExpCost=54.4207.
Iter 30 : Cost=34.1699, ExpCost=54.2182.
Iter 31 : Cost=39.2717, ExpCost=54.0687.
Iter 32 : Cost=35.3569, ExpCost=53.8816.
Iter 33 : Cost=34.0636, ExpCost=53.6834.
Iter 34 : Cost=38.1678, ExpCost=53.5283.
Iter 35 : Cost=34.7243, ExpCost=53.3402.
Iter 36 : Cost=41.2812, ExpCost=53.2196.
Iter 37 : Cost=36.8802, ExpCost=53.0562.
