models/RNTN_wvecDim_30_step_10e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 1 : Cost=17.2874, ExpCost=17.2874.
Iter 2 : Cost=42.2011, ExpCost=17.5365.
Iter 3 : Cost=33.2983, ExpCost=17.6941.
Iter 4 : Cost=30.1827, ExpCost=17.8190.
Iter 5 : Cost=30.4911, ExpCost=17.9457.
Iter 6 : Cost=24.3942, ExpCost=18.0102.
Iter 7 : Cost=25.6675, ExpCost=18.0868.
Iter 8 : Cost=21.6873, ExpCost=18.1228.
Iter 9 : Cost=26.3582, ExpCost=18.2051.
Iter 10 : Cost=20.6848, ExpCost=18.2299.
Iter 11 : Cost=25.6452, ExpCost=18.3041.
Iter 12 : Cost=22.0027, ExpCost=18.3411.
Iter 13 : Cost=22.3433, ExpCost=18.3811.
Iter 14 : Cost=22.6354, ExpCost=18.4236.
Iter 15 : Cost=23.6030, ExpCost=18.4754.
Iter 16 : Cost=24.1208, ExpCost=18.5319.
Iter 17 : Cost=25.2797, ExpCost=18.5994.
Iter 18 : Cost=21.9003, ExpCost=18.6324.
Iter 19 : Cost=23.2907, ExpCost=18.6790.
Iter 20 : Cost=27.3682, ExpCost=18.7659.
Iter 21 : Cost=20.9127, ExpCost=18.7873.
Iter 22 : Cost=23.6522, ExpCost=18.8360.
Iter 23 : Cost=23.6065, ExpCost=18.8837.
Iter 24 : Cost=20.4695, ExpCost=18.8995.
Iter 25 : Cost=25.5720, ExpCost=18.9663.
Iter 26 : Cost=23.3578, ExpCost=19.0102.
Iter 27 : Cost=24.9126, ExpCost=19.0692.
Iter 28 : Cost=24.5463, ExpCost=19.1240.
Iter 29 : Cost=25.9042, ExpCost=19.1918.
Iter 30 : Cost=19.6446, ExpCost=19.1963.
Iter 31 : Cost=23.1798, ExpCost=19.2361.
Iter 32 : Cost=26.0292, ExpCost=19.3041.
Iter 33 : Cost=25.0493, ExpCost=19.3615.
Iter 34 : Cost=24.4098, ExpCost=19.4120.
Iter 35 : Cost=23.5304, ExpCost=19.4532.
Iter 36 : Cost=20.7747, ExpCost=19.4664.
Iter 37 : Cost=22.6412, ExpCost=19.4981.
Iter 38 : Cost=23.1720, ExpCost=19.5349.
Iter 39 : Cost=29.7519, ExpCost=19.6371.
Iter 40 : Cost=27.9791, ExpCost=19.7205.
Iter 41 : Cost=21.4310, ExpCost=19.7376.
Iter 42 : Cost=23.6910, ExpCost=19.7771.
Iter 43 : Cost=27.8801, ExpCost=19.8581.
Iter 44 : Cost=23.1023, ExpCost=19.8906.
Iter 45 : Cost=19.2790, ExpCost=19.8845.
Iter 46 : Cost=24.6615, ExpCost=19.9322.
Iter 47 : Cost=23.8461, ExpCost=19.9714.
Iter 48 : Cost=22.3879, ExpCost=19.9955.
Iter 49 : Cost=20.9220, ExpCost=20.0048.
Iter 50 : Cost=24.8462, ExpCost=20.0532.
Iter 51 : Cost=19.5408, ExpCost=20.0481.
Iter 52 : Cost=21.2774, ExpCost=20.0604.
Iter 53 : Cost=25.2522, ExpCost=20.1123.
Iter 54 : Cost=20.7582, ExpCost=20.1188.
Iter 55 : Cost=16.9815, ExpCost=20.0874.
Iter 56 : Cost=22.6645, ExpCost=20.1132.
Iter 57 : Cost=27.1236, ExpCost=20.1833.
Iter 58 : Cost=22.2168, ExpCost=20.2036.
Iter 59 : Cost=27.4504, ExpCost=20.2761.
Iter 60 : Cost=20.0336, ExpCost=20.2737.
Iter 61 : Cost=25.7030, ExpCost=20.3279.
Iter 62 : Cost=24.7695, ExpCost=20.3724.
Iter 63 : Cost=25.4185, ExpCost=20.4228.
Iter 64 : Cost=20.5052, ExpCost=20.4236.
Iter 65 : Cost=20.6058, ExpCost=20.4255.
Iter 66 : Cost=26.2729, ExpCost=20.4839.
Iter 67 : Cost=28.5419, ExpCost=20.5645.
Iter 68 : Cost=25.3257, ExpCost=20.6121.
Iter 69 : Cost=28.2843, ExpCost=20.6889.
Iter 70 : Cost=20.1914, ExpCost=20.6839.
Iter 71 : Cost=22.6141, ExpCost=20.7032.
Iter 72 : Cost=20.4235, ExpCost=20.7004.
Iter 73 : Cost=21.8520, ExpCost=20.7119.
Iter 74 : Cost=22.8438, ExpCost=20.7332.
Iter 75 : Cost=30.4501, ExpCost=20.8304.
Iter 76 : Cost=28.8290, ExpCost=20.9104.
Iter 77 : Cost=21.4077, ExpCost=20.9154.
Iter 78 : Cost=22.8927, ExpCost=20.9351.
Iter 79 : Cost=23.6236, ExpCost=20.9620.
Iter 80 : Cost=25.1565, ExpCost=21.0040.
Iter 81 : Cost=23.7594, ExpCost=21.0315.
Iter 82 : Cost=23.6366, ExpCost=21.0576.
Iter 83 : Cost=22.3531, ExpCost=21.0705.
Iter 84 : Cost=24.8671, ExpCost=21.1085.
Iter 85 : Cost=25.8431, ExpCost=21.1558.
Iter 86 : Cost=24.4101, ExpCost=21.1884.
Iter 87 : Cost=23.9815, ExpCost=21.2163.
Iter 88 : Cost=23.4099, ExpCost=21.2382.
Iter 89 : Cost=23.6130, ExpCost=21.2620.
Iter 90 : Cost=25.5441, ExpCost=21.3048.
Iter 91 : Cost=23.1155, ExpCost=21.3229.
Iter 92 : Cost=24.3365, ExpCost=21.3530.
Iter 93 : Cost=22.0355, ExpCost=21.3599.
Iter 94 : Cost=21.8088, ExpCost=21.3644.
Iter 95 : Cost=25.4195, ExpCost=21.4049.
Iter 96 : Cost=23.4650, ExpCost=21.4255.
Iter 97 : Cost=23.3618, ExpCost=21.4449.
Iter 98 : Cost=26.0431, ExpCost=21.4909.
Iter 99 : Cost=20.6549, ExpCost=21.4825.
Iter 100 : Cost=28.6936, ExpCost=21.5546.
Iter 101 : Cost=23.5700, ExpCost=21.5748.
Iter 102 : Cost=25.7263, ExpCost=21.6163.
Iter 103 : Cost=19.5655, ExpCost=21.5958.
Iter 104 : Cost=21.8882, ExpCost=21.5987.
Iter 105 : Cost=19.8899, ExpCost=21.5816.
Iter 106 : Cost=18.3814, ExpCost=21.5496.
Iter 107 : Cost=19.0942, ExpCost=21.5250.
Iter 108 : Cost=23.7797, ExpCost=21.5476.
Iter 109 : Cost=16.9695, ExpCost=21.5018.
Iter 110 : Cost=24.1957, ExpCost=21.5288.
Iter 111 : Cost=22.7690, ExpCost=21.5412.
Iter 112 : Cost=23.2309, ExpCost=21.5581.
Iter 113 : Cost=23.3917, ExpCost=21.5764.
Iter 114 : Cost=23.9060, ExpCost=21.5997.
Iter 115 : Cost=20.8089, ExpCost=21.5918.
Iter 116 : Cost=26.1912, ExpCost=21.6378.
Iter 117 : Cost=21.5491, ExpCost=21.6369.
Iter 118 : Cost=19.2662, ExpCost=21.6132.
Iter 119 : Cost=22.8127, ExpCost=21.6252.
Iter 120 : Cost=19.2056, ExpCost=21.6010.
Iter 121 : Cost=22.1066, ExpCost=21.6060.
Iter 122 : Cost=20.8479, ExpCost=21.5985.
Iter 123 : Cost=19.8904, ExpCost=21.5814.
Iter 124 : Cost=23.0065, ExpCost=21.5956.
Iter 125 : Cost=23.2783, ExpCost=21.6125.
Iter 126 : Cost=21.8266, ExpCost=21.6146.
Iter 127 : Cost=21.9451, ExpCost=21.6179.
Iter 128 : Cost=22.4723, ExpCost=21.6264.
Iter 129 : Cost=21.7139, ExpCost=21.6273.
Iter 130 : Cost=19.7302, ExpCost=21.6083.
Iter 131 : Cost=23.4000, ExpCost=21.6263.
Iter 132 : Cost=24.3503, ExpCost=21.6535.
Iter 133 : Cost=23.4672, ExpCost=21.6716.
Iter 134 : Cost=20.9236, ExpCost=21.6642.
Iter 135 : Cost=23.5433, ExpCost=21.6830.
Iter 136 : Cost=21.3703, ExpCost=21.6798.
Iter 137 : Cost=25.1920, ExpCost=21.7149.
Iter 138 : Cost=21.6248, ExpCost=21.7140.
Iter 139 : Cost=25.0575, ExpCost=21.7475.
Iter 140 : Cost=22.8414, ExpCost=21.7584.
